hra_id,hra_name,total_pop,total_uninsured_pop,percent_uninsured
1,"Enumclaw, Black Diamond, and Southeast King County",64175,4542,7.08
2,Auburn - South,31738,2741,8.64
3,Federal Way - Dash Point and Southern Rim,41490,2599,6.26
4,"Lakeland, Algona, Pacific, and Milton",30212,1762,5.83
5,Auburn - North,41372,2703,6.53
6,Federal Way - Central,36271,3013,8.31
7,Federal Way - North Corridor,29403,3206,10.9
8,"East Highlands, Hobart, and Greater Maple Valley",38950,1353,3.47
9,Kent - South,19797,1130,5.71
10,Maple Valley,11264,282,2.5
11,Covington,28358,1301,4.59
12,Kent - Central,19446,1581,8.13
13,Kent - West,39177,3722,9.5
14,Kent - East,38910,2564,6.59
15,Des Moines and Normandy Park,28744,3669,12.76
16,Vashon,11055,525,4.75
17,Fairwood,20353,861,4.23
18,Seatac,35513,3035,8.55
19,Renton - South,54861,3233,5.89
20,Burien,52022,4706,9.05
21,Tukwila,35117,3656,10.41
22,Newcastle and Four Creeks,49725,3224,6.48
23,Renton - North,53403,3770,7.06
24,Skyway,16993,696,4.1
25,Snoqualmie and North Bend,12325,905,7.34
26,North Highline and White Center,9078,991,10.92
27,Seattle - Delridge,37581,2430,6.47
28,Issaquah,31832,800,2.51
29,Seattle - Rainier Valley and Rainier Beach,40729,2656,6.52
30,"Seattle - South Beacon Hill, Georgetown, and South Park",42966,2728,6.35
31,Bellevue - South,30213,886,2.93
32,Seattle - West Seattle,62705,2087,3.33
33,Mercer Island and Point Cities,40877,655,1.6
34,"Seattle - Central District, Chinatown-International District, Judkins, and North Beacon Hill",41913,2669,6.37
35,Bellevue - West,24744,748,3.02
36,Bellevue - Central,39197,2163,5.52
37,Sammamish,55778,1129,2.02
38,"Duvall, Carnation, Skykomish, and Northeast King County",56355,1466,2.6
39,"Seattle - Downtown, Belltown, and First Hill",45664,2150,4.71
40,Bellevue - Northeast,66962,2331,3.48
41,"Montlake, Madison Park, and Madrona",11155,317,2.84
42,Seattle - Capitol Hill,39124,1459,3.73
43,"Seattle - South Lake Union, Cascade, and Eastlake",32505,1122,3.45
44,Seattle - Queen Anne,30749,873,2.84
45,Magnolia and Interbay,44825,1282,2.86
46,Fremont and Wallingford,50524,2328,4.61
47,Seattle - University District,22404,1076,4.8
48,Redmond - South,24709,963,3.9
49,"Seattle - Laurelhurst, Sand Point, and Wedgwood",19069,253,1.33
50,Seattle - Ravenna and Bryant,26549,1080,4.07
51,Kirkland - South,48269,1510,3.13
52,Green Lake and Phinney Ridge,35267,983,2.79
53,Redmond - North,25201,1232,4.89
54,Bear Creek and Greater Sammamish,60797,1844,3.03
55,Seattle - Ballard,67011,2029,3.03
56,Seattle - Northgate and Lake City,32497,1050,3.23
57,Kirkland - North,25133,1041,4.14
58,"Seattle - Broadview, Haller Lake, and Licton Springs",51769,3396,6.56
59,Kenmore and Lake Forest Park,45478,2124,4.67
60,Bothell and Woodinville,46824,2065,4.41
61,Shoreline,62548,2641,4.22
